,links,names,Type,Duration,Price,difficulty,Description,platform
0,https://online-learning.harvard.edu/course/cs50s-introduction-game-development?delta=0,CS50's Introduction to Game Development,Programming,12 weeks long,Free*,Intermediate,"In a quest to understand how video games themselves are implemented, you'll explore the design of such childhood games as: Super Mario Bros., Pong, Flappy Bird, Breakout, Match 3, Legend of Zelda, Angry Birds, Pokémon, 3D Helicopter Game, Dreadhalls, and Portal.",edX
1,https://online-learning.harvard.edu/course/cs50s-web-programming-python-and-javascript?delta=0,CS50's Web Programming with Python and JavaScript,Programming,12 weeks long,Free*,Intermediate,"Topics include database design, scalability, security, and user experience. Through hands-on projects, you'll learn to write and use APIs, create interactive UIs, and leverage cloud services like GitHub and Heroku. By course's end, you'll emerge with knowledge and experience in principles, languages, and tools that empower you to design and deploy applications on the Internet.",edX
2,https://online-learning.harvard.edu/course/nonprofit-financial-stewardship-webinar-introduction-accounting-and-financial-statements?delta=0,Nonprofit Financial Stewardship Webinar: Introduction to Accounting and Financial Statements,Business,9 weeks long,Free*,Introductory,The Introduction to Nonprofit Accounting and Financial Statements webinar series is designed to introduce basic nonprofit accounting concepts and financial statements to individuals who have had little or no experience with finance or accounting.,Executive Education
3,https://online-learning.harvard.edu/course/fecal-microbiota-transplantation-treatment-recurrent-clostridium-difficile-infections?delta=0,Fecal Microbiota Transplantation For the Treatment of Recurrent Clostridium Difficile Infections,Health & Medicine,self paced,$25,Advanced,"This HMS CME Online course is 1 of 7 course modules in the Trending topics in Internal Medicine program, which is targeted to primary care and specialty physicians, pharmacists, psychologists, physician assistants, nurses, and nurse practitioners. Learners may register for each course module in the program separately.",HMS Continuing Education
4,https://online-learning.harvard.edu/course/procalcitonin-diagnosing-bacterial-infection-ready-prime-time?delta=0,Procalcitonin in Diagnosing Bacterial Infection: Ready for Prime-Time?,Health & Medicine,self paced,$65,Advanced,"This HMS CME Online course is 1 of 7 course modules in the Trending topics in Internal Medicine program, which is targeted to primary care and specialty physicians, pharmacists, psychologists, physician assistants, nurses, and nurse practitioners. Learners may register for each course module in the program separately.",HMS Continuing Education
5,https://online-learning.harvard.edu/course/cancer-immunotherapy-internists?delta=0,Cancer Immunotherapy for Internists,Health & Medicine,self paced,$65,Advanced,"This HMS CME Online course is 1 of 7 course modules in the Trending topics in Internal Medicine program, which is targeted to primary care and specialty physicians, pharmacists, psychologists, physician assistants, nurses, and nurse practitioners. Learners may register for each course module in the program separately.",HMS Continuing Education
6,https://online-learning.harvard.edu/course/noacs-stroke-prevention-atrial-fibrillation?delta=0,NOACs for Stroke Prevention in Atrial Fibrillation,Health & Medicine,self paced,$35,Advanced,"This HMS CME Online course is 1 of 7 course modules in the Trending topics in Internal Medicine program, which is targeted to primary care and specialty physicians, pharmacists, psychologists, physician assistants, nurses, and nurse practitioners. Learners may register for each course module in the program separately.",HMS Continuing Education
7,https://online-learning.harvard.edu/course/new-drugs-treat-type-2-diabetes?delta=0,New Drugs to Treat Type 2 Diabetes,Health & Medicine,self paced,$65,Advanced,"This HMS CME Online course is 1 of 7 course modules in the Trending topics in Internal Medicine program, which is targeted to primary care and specialty physicians, pharmacists, psychologists, physician assistants, nurses, and nurse practitioners. Learners may register for each course module in the program separately.",HMS Continuing Education
8,https://online-learning.harvard.edu/course/pre-exposure-prophylaxis-hiv?delta=0,Pre-Exposure Prophylaxis for HIV,Health & Medicine,self paced,$35,Advanced,"This HMS CME Online course is 1 of 7 course modules in the Trending topics in Internal Medicine program, which is targeted to primary care and specialty physicians, pharmacists, psychologists, physician assistants, nurses, and nurse practitioners. Learners may register for each course module in the program separately.",HMS Continuing Education
9,https://online-learning.harvard.edu/course/new-treatments-heart-failure?delta=0,New Treatments in Heart Failure,Health & Medicine,self paced,$49,Advanced,"This HMS CME Online course is 1 of 7 course modules in the Trending topics in Internal Medicine program, which is targeted to primary care and specialty physicians, pharmacists, psychologists, physician assistants, nurses, and nurse practitioners. Learners may register for each course module in the program separately.",HMS Continuing Education
