,links,names,views,age
0,https://www.youtube.com/watch?v=RBSGKlAvoiM,"

Algorithms and Data Structures - Full Course for Beginners from Treehouse
",2 years ago,3.4M views
1,https://www.youtube.com/watch?v=8hly31xKli0,"

Data Structures and Algorithms Full Tutorial in 9 Hours | [Complete Course] Beginner to Advance
",874K views,Updated 7 days ago
2,https://www.youtube.com/watch?v=hCrO_cR7kno,"

Data Structures and Algorithms for Beginners
",165K views,6 months ago
3,https://www.youtube.com/watch?v=BBpAmxU_NQo,"

How I Learnt DSA and Got Into Amazon | My Learnings | Preparation Strategy
",634K views,6 months ago
4,https://www.youtube.com/watch?v=1kggJMwt1dY,"

How to Learn Data Structures and Algorithms? | MySirG.com
",537K views,1 year ago
5,https://www.youtube.com/watch?v=nv3Ez1Xiacw,"

Data Structures, Algorithms & System Design Full Course 2021 | Exclusive CS Fundamentals Tutorial
",72K views,4 months ago
6,https://www.youtube.com/watch?v=1jAI-kjKelY,"

7.4 Insertion Sort Algorithm | Data Structure
",45K views,1 month ago
7,https://www.youtube.com/watch?v=yCxV0kBpA6M,"

Data Structures and Algorithms in Python - Full Course for Beginners
",530K views,1 month ago
8,https://www.youtube.com/watch?v=pkYVOmU3MgA,"

Data Structures - Full Course Using C and C++
",168K views,2 years ago
9,https://www.youtube.com/watch?v=B31LgI4Y4DQ,"

How I mastered Data Structures and Algorithms from scratch | MUST WATCH
",667K views,2 weeks ago
10,https://www.youtube.com/watch?v=IIKTGg5AKkY,"

Data Structures and Algorithms in C | C Programming Full course | Great Learning
",1.1M views,8 months ago
11,https://www.youtube.com/watch?v=MtVZAXepMPM,"

Data Structures and Algorithms Full Course 2021 | Detailed 9 Hour Tutorial | Dynamic Programming
",61K views,2 years ago
