url,Course Title,Course Headline,Instructor,Rating,course_length,number_of_lectures,difficulty
https://www.udemy.com/course/datastructurescncpp/,Mastering Data Structures & Algorithms using C and C++,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",Abdul Bari,4.6,58.5 total hours,390 lectures,All Levels
https://www.udemy.com/course/cpp-data-structures-algorithms-levelup-prateek-narang/,"Data Structures & Algorithms, Level-up Course(2021)",The only course you need to master problem solving using Data Structures & Algorithms in C++,"Prateek Narang, Coding Minutes",4.6,29.5 total hours,239 lectures,All Levels
https://www.udemy.com/course/cpp-data-structures-algorithms-prateek-narang/,Data Structures & Algorithms Essentials (2021),"Master the core concepts & internal workings of data structures, build algorithms & solve problems using C++","Prateek Narang, Coding Minutes",4.5,27 total hours,240 lectures,All Levels
https://www.udemy.com/course/data-structures-algorithms-using-c-zero-to-mastery/,Data Structure & Algorithm using C++ : Zero To Mastery 2021,"Greedy Algo, Dynamic Programming , Graph ,Tries , Arrays, Recursion, Linked Lists, Trees, HashMap, Stacks, Queues, Heaps","Ankit Thakran, Harsh Kajla",4.5,64.5 total hours,268 lectures,All Levels
https://www.udemy.com/course/algorithms-bootcamp-in-c/,Algorithms (Data Structures) Bootcamp in C++,"Recursion, Backtracking, Dynamic Programming, Graphs, Data Structures, Sorting and Substring Search Algorithms",Holczer Balazs,4.4,17 total hours,149 lectures,All Levels
https://www.udemy.com/course/coding-interview-question-data-structures-algorithm/,Cracking Coding Interview : Data Structure & Algorithms C++,100+ Leetcode problem solved in C++ (FAANG) Crack your next coding interview by mastering data structures and algorithm.,"Ankit Thakran, Harsh Kajla",4.5,48 total hours,202 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-cplusplus-for-interviews/,Data Structures and Algorithms in C++ For Coding Interview,Covers Algorithmic Problems in C++ That range a variety of data structures which often pop up during a coding interview.,El Farouk Yasser,4.6,7 total hours,63 lectures,Beginner
https://www.udemy.com/course/mastering-data-structures-and-algorithms-using-c-programming/,"Data Structures & Algorithms using C++, C and Python - 2021","Coding Interview : Learn Arrays, Stacks, Queues, Linked Lists, Trees, Graphs & Algorithms from basics to advanced.",Atchyut Kumar,4.6,42.5 total hours,215 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-in-c-algorithms-and-data-structures/,Data Structures and Algorithms using c++,"Concepts and coding of various data structures and algorithms like Trees, Linked List, Stack, Queue, Sorts and many more",Muhammad Hamza AbdulRehman,4.1,3.5 total hours,47 lectures,All Levels
https://www.udemy.com/course/c-plus-plus-programming/,Complete C++ Programming with Data Structures and Algorithms,"C++ Programming basics to Arrays, Strings, Pointers, Recursion, OOP's, Linked Lists, Stacks, Queues, Trees, Graphs ,DP",Kunal Gupta,4.4,56 total hours,240 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-in-c-plus-plus/,Data Structures and Algorithms In C++ (DSA Coding Interview),Data Structures and Algorithms in C++ to Crack Coding Interview Using C++ Advanced Data Structures C Plus DSA LeetCode,Deepali Srivastava,4.2,11.5 total hours,148 lectures,All Levels
https://www.udemy.com/course/learn-basics-of-data-structures-algorithms/,Learn Basics of Data Structures & Algorithms in C++,Covers Types & Search Algorithms with implementation in C++ & Analysis of Complexity with Interview Based Questions,Mehak Mahajan,3.1,4 total hours,21 lectures,Beginner
https://www.udemy.com/course/algorithms-and-data-structures-in-c-coding-interview/,Algorithms and Data Structures in C++ (2020),"Learn Algorithms and Data structures in C++, get ready for enginnering interview",Luke's Programming School,2.9,2.5 total hours,38 lectures,All Levels
https://www.udemy.com/course/test-your-data-structures-and-algorithms-skills/,Data Structures and Algorithms ( DSA Interview Questions ),Data Structures and Algorithms Coding Interview Questions DSA Independent of using in C C++ Python Java JavaScript C#,Suresh Kumar Srivastava,3.5,177 questions,All Levels,All Levels
https://www.udemy.com/course/sorting-algorithms-from-beginner-to-expert/,Sorting Algorithms from Beginner to Expert,"Learning , Implementation in C++ and Analysing Sorting Algorithms in Data Structures",Mehak Mahajan,4.7,6 total hours,33 lectures,All Levels
https://www.udemy.com/course/c-programming-the-coding-interview/,C++ Programming: The Coding Interview,Ace your next C++ coding interview by mastering data structures and algorithms.,Programming Made Easy,4.1,2.5 total hours,28 lectures,Beginner
https://www.udemy.com/course/master-data-structures-algorithms-interview-using-c/,"Master Data Structures , Algorithms & Interview using C++","Learn about Arrays, Linked Lists, Trees,  Stacks, Queues, Heaps, Search data structure algorithms,Interview Preparation",Manik Soni,,13 total hours,72 lectures,All Levels
https://www.udemy.com/course/the-ultimate-c-plus-plus-interview-questions-bootcamp/,The Ultimate C++ Interview Questions Bootcamp,Data Structures + Algorithms to Crack the Coding Interview,"Mammoth Interactive, John Bura",3.3,7.5 total hours,52 lectures,Beginner
https://www.udemy.com/course/c-software-developer-interview-preparation/,C++ Software Developer Interview Preparation,"Prepare yourself for advanced C++, STL, data structures and algorithms interview questions",Tegaru Labs,3.7,265 questions,Intermediate,Beginner
https://www.udemy.com/course/stl-standard-template-library/,STL - Standard Template Library And DSA Interview Questions,Crash Course for STL - Standard Template Library in C++ and Data Structures and Algorithms,Anant Rungta,4.2,2.5 total hours,20 lectures,Beginner
https://www.udemy.com/course/fsmproject/,Coding Project - Programming Finite State Machines,"C/C++ Projects, Library Design, System Projects, Programming based Course, Data Structures and Algorithms, Automata, TOC","Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",4.8,2 total hours,22 lectures,Intermediate
https://www.udemy.com/course/wheeltimers/,System C/C++ Course on Linux Timers Implementation & Design,"Data Structure & Algorithm to Schedule future events, Linux System Programming, Operating systems, C/C++ programming","Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",4.7,4 total hours,42 lectures,Beginner
https://www.udemy.com/course/introduction-to-algorithms-and-data-structures-in-c/,Introduction to Algorithms and Data structures in C++,A step-by-step guide with solved problems. I'm teaching visually with lots of examples.,Andrei Margeloiu,4.4,3.5 total hours,39 lectures,Beginner
https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,Master the Coding Interview: Data Structures + Algorithms,"Ultimate coding interview bootcamp. Get more job offers, negotiate a raise: Everything you need to get the job you want!",Andrei Neagoie,4.7,19.5 total hours,259 lectures,All Levels
https://www.udemy.com/course/coding-interview-bootcamp-algorithms-and-data-structure/,The Coding Interview Bootcamp: Algorithms + Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,Stephen Grider,4.8,13 total hours,136 lectures,All Levels
https://www.udemy.com/course/js-algorithms-and-data-structures-masterclass/,JavaScript Algorithms and Data Structures Masterclass,The Missing Computer Science and Coding Interview Bootcamp,Colt Steele,4.8,22 total hours,249 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-deep-dive-using-java/,Data Structures and Algorithms:  Deep Dive Using Java,"Learn about Arrays,  Linked Lists, Trees,  Hashtables, Stacks,  Queues,  Heaps, Sort algorithms and Search algorithms","Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy",4.5,16 total hours,116 lectures,Intermediate
https://www.udemy.com/course/python-for-data-structures-algorithms-and-interviews/,"Python for Data Structures, Algorithms, and Interviews!",Get a kick start on your career and ace your coding interviews!,Jose Portilla,4.5,17 total hours,228 lectures,Intermediate
https://www.udemy.com/course/data-structures-and-algorithms-bootcamp-in-python/,The Complete Data Structures and Algorithms Course in Python,Data Structures and Algorithms from Zero to Hero and Crack Top Companies 100+ Interview questions (Python Coding),Elshad Karimov,4.5,41.5 total hours,470 lectures,All Levels
https://www.udemy.com/course/data-structures-algorithms-python/,Data Structures & Algorithms - Python,The Ultimate Python Coding Interview Bootcamp,Scott Barrett,4.9,7 total hours,101 lectures,All Levels
https://www.udemy.com/course/java-data-structures-and-algorithms-masterclass/,Java Data Structures and Algorithms Masterclass,Data Structures and Algorithms from Zero to Hero and Crack Top Companies 100+ Interview questions (Java Coding),Elshad Karimov,4.5,45.5 total hours,424 lectures,All Levels
https://www.udemy.com/course/data-structures-algorithms-javascript/,Data Structures & Algorithms - JavaScript,The Ultimate JavaScript Coding Interview Bootcamp,Scott Barrett,4.8,7 total hours,101 lectures,All Levels
https://www.udemy.com/course/algorithms-and-data-structures-in-python/,Algorithms and Data Structures in Python (INTERVIEW Q&A),"A guide to implement data structures, graph algorithms and sorting algorithms from scratch with interview questions!",Holczer Balazs,4.4,18.5 total hours,189 lectures,All Levels
https://www.udemy.com/course/introduction-to-data-structures/,Easy to Advanced Data Structures,A complete guide to learning everything there is to know about data structures,William Fiset,4.5,8.5 total hours,48 lectures,All Levels
https://www.udemy.com/course/practical-data-structures-algorithms-in-java/,Practical Data Structures & Algorithms in Java + HW,Go from zero to hero in the most important algorithms and data structures using Java,Imtiaz Ahmad,4.7,11.5 total hours,46 lectures,All Levels
https://www.udemy.com/course/dscpp-skills/,Mastering critical SKILLS in Data Structures using C++,Understand DS inner details & design decisions effects + Solve ~180 problems to enhance your problem-solving skills,Dr. Mostafa Saad Ibrahim,4.8,19.5 total hours,200 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-the-complete-guide/,Data Structures A-Z : Data Structures + Algorithms Bootcamp,Become ace in data structures & algorithms & Crack the code interview by getting mastery in data structures & algorithms,Vinoth Parthasarathy,4.8,7.5 total hours,91 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-bootcamp/,Data Structures and Algorithms Bootcamp,How to ace your Silicon Valley style coding interview,Jonathan Rasmusson,4.6,6.5 total hours,139 lectures,Beginner
https://www.udemy.com/course/introduction-to-data-structures-algorithms-in-java/,Introduction to Data Structures & Algorithms in Java,Designed to help understand the fundamentals of DS & Algorithms really well. A must have for programming interviews.,Raghavendra Dixit,4.3,5 total hours,103 lectures,All Levels
https://www.udemy.com/course/data-structure-and-algorithms-analysis/,Data Structure and  Algorithms Analysis - Job Interview,"Write code run faster, use less memory and prepare for Software Engineer Interview with real interview questions",Dr. Hussein Alrubaye,4.4,15.5 total hours,101 lectures,All Levels
https://www.udemy.com/course/learning-data-structures-algorithms-in-python-from-scratch/,Data Structures and Algorithms: In-Depth using Python,Implement Data Structures and Algorithms in Python,Syed Mohiuddin,4.3,34.5 total hours,260 lectures,All Levels
https://www.udemy.com/course/algorithms-data-structures-csharp/,Algorithms and Data Structures in C#: Complete Tutorial,Learn data structures and algorithms in C# from A to Z. Pass coding interview. Learn unit testing and TDD in addition.,Engineer Spock,4.3,15.5 total hours,137 lectures,All Levels
https://www.udemy.com/course/algorithms-and-data-structures-in-java-part-ii/,Algorithms and Data Structures in Java - Part II,"Tries Data Structures, Ternary Search Trees, Data Compression, Substring Search and Sorting Algorithms",Holczer Balazs,4.6,11 total hours,92 lectures,All Levels
