,links,names,Views,likes,age
0,https://www.youtube.com/watch?v=rfscVS0vtbw,"

Learn Python - Full Course for Beginners [Tutorial]
","27,515,911 views",689K,
1,https://www.youtube.com/watch?v=_uQrJ0TkZlc,"

Python Tutorial - Python for Beginners [Full Course]
","21,490,419 views",650K,
2,https://www.youtube.com/watch?v=gfDE2a7MKjA,"

Python Tutorial For Beginners In Hindi (With Notes) 🔥
","7,192,308 views",258K,
3,https://www.youtube.com/watch?v=Z1Yd7upQsXY,"

Python Tutorial for Absolute Beginners #1 - What Are Variables?
","7,136,711 views",160K,
4,https://www.youtube.com/watch?v=QXeEoD0pB3E,"

#0 Python Programming Tutorial for Beginners
","4,300,985 views",49K,
5,https://www.youtube.com/watch?v=WGJJIrtnfpk,"

Python Full Course - Learn Python in 12 Hours | Python Tutorial For Beginners | Edureka
","3,837,089 views",82K,
6,https://www.youtube.com/watch?v=pJ3IPRqiD2M,"

Python Course | Python Tutorial for Beginners | Intellipaat
","3,145,065 views",93K,
7,https://www.youtube.com/watch?v=hEgO047GxaQ,"

#1 Python Tutorial for Beginners | Introduction to Python
","3,033,512 views",45K,
8,https://www.youtube.com/watch?v=ZDa-Z5JzLYM,"

Python OOP Tutorial 1: Classes and Instances
","2,899,217 views",79K,
9,https://www.youtube.com/watch?v=cpPG0bKHYKc,"

Python Beginner Tutorial 1 (For Absolute Beginners)
","2,861,586 views",12K,
10,https://www.youtube.com/watch?v=F5mRW0jo-U4,"

Python Django Web Framework - Full Course for Beginners
","2,688,037 views",37K,
11,https://www.youtube.com/watch?v=kqtD5dpn9C8,"

Python for Beginners - Learn Python in 1 Hour
","2,446,244 views",68K,
12,https://www.youtube.com/watch?v=DWgzHbglNIo,"

#3 Python Tutorial for Beginners | Getting Started with Python
","2,405,530 views",63K,
13,https://www.youtube.com/watch?v=4F2m91eKmts,"

Python Tutorial for Beginners - Full Course in 11 Hours [2020]
","2,205,489 views",119K,
14,https://www.youtube.com/watch?v=Lp9Ftuq2sVI,"

Project 1: Iron Man Jarvis AI Desktop Voice Assistant | Python Tutorials For Absolute Beginners #120
","2,133,756 views",87K,
15,https://www.youtube.com/watch?v=HBxCHonP6Ro,"

Python Programming Tutorial - 1 - Installing Python
","2,076,308 views",10K,
16,https://www.youtube.com/watch?v=YYXdXT2l-Gg,"

Python Tutorial for Beginners 1: Install and Setup for Mac and Windows
","1,943,717 views",22K,
17,https://www.youtube.com/watch?v=AWek49wXGzI,"

How to Use If Else Statements in Python (Python Tutorial #2)
","1,931,097 views",40K,
18,https://www.youtube.com/watch?v=_V8eKsto3Ug,"

R Programming Tutorial - Learn the Basics of Statistical Computing
","1,937,048 views",33K,
19,https://www.youtube.com/watch?v=TqPzwenhMj0,"

#4 Python Tutorial for Beginners | Variables in Python
","1,912,405 views",37K,
20,https://www.youtube.com/watch?v=_uQrJ0TkZlc,"

Python Tutorial - Python for Beginners [Full Course]
","21,490,542 views",650K,
21,https://www.youtube.com/watch?v=3vauM7axnRs,"

Java Project Tutorial - Make Login and Register Form Step by Step Using NetBeans And MySQL Database
","14,111,111 views",11K,
22,https://www.youtube.com/watch?v=U8_8fTODn5g,"

Learn C language in 30 Minutes & Start Coding For Beginners in Hindi
","10,156,298 views",472K,
23,https://www.youtube.com/watch?v=PkZNo7MFNFg,"

Learn JavaScript - Full Course for Beginners
","7,272,977 views",144K,
24,https://www.youtube.com/watch?v=Z1Yd7upQsXY,"

Python Tutorial for Absolute Beginners #1 - What Are Variables?
","7,136,711 views",160K,
25,https://www.youtube.com/watch?v=Hl-zzrqQoSE,"

Java Programming Tutorial - 1 - Installing the JDK
","6,614,017 views",27K,
26,https://www.youtube.com/watch?v=3u1fu6f8Hto,"

Java Tutorial for Beginners - Made Easy - Step by Step
","6,250,671 views",60K,
27,https://www.youtube.com/watch?v=-CpG3oATGIs,"

C Programming Tutorial | Learn C programming | C language
","5,802,166 views",79K,
28,https://www.youtube.com/watch?v=W6NZfCO5SIk,"

JavaScript Tutorial for Beginners: Learn JavaScript in 1 Hour
","5,663,555 views",101K,
29,https://www.youtube.com/watch?v=eSM_YkWeS7k,"

Java Project Tutorial - How To Design Login And Dashboard Form In Java Netbeans
","5,598,263 views",8.7K,
30,https://www.youtube.com/watch?v=eIrMbAQSU34,"

Java Tutorial for Beginners [2020]
","5,259,384 views",142K,
31,https://www.youtube.com/watch?v=KJgsSFOSQv0,"

C Programming Tutorial for Beginners
","5,154,907 views",99K,
32,https://www.youtube.com/watch?v=WPvGqX-TXP0,"

Java Programming
","4,828,397 views",50K,
33,https://www.youtube.com/watch?v=r59xYe3Vyks,"

Java Tutorial For Beginners 1 - Introduction and Installing the java (JDK) Step by Step Tutorial
","4,349,892 views",19K,
34,https://www.youtube.com/watch?v=RBSGKlAvoiM,"

Data Structures Easy to Advanced Course - Full Tutorial from a Google Engineer
","3,448,481 views",82K,
35,https://www.youtube.com/watch?v=eTXd89t8ngI,"

Core Java with OCJP/SCJP : Language Fundamentals Part-1 || Java Identifiers and Reserved Words
","2,976,103 views",16K,
36,https://www.youtube.com/watch?v=5u8rFbpdvds,"

Java Programming Tutorial - 2 - Running a  Java Program
","2,893,755 views",13K,
37,https://www.youtube.com/watch?v=grEKMHGYyns,"

Learn Java 8 - Full Tutorial for Beginners
","2,626,189 views",46K,
38,https://www.youtube.com/watch?v=UI6lqHOVHic,"

UML Class Diagram Tutorial
","2,556,508 views",41K,
39,https://www.youtube.com/watch?v=Qe026vn1tbc,"

Basic Concepts of Object Oriented Programming (HINDI)
","2,521,208 views",27K,
