url,Course Title,Course Headline,Instructor,Rating,course_length,number_of_lectures,difficulty
https://www.udemy.com/course/java-the-complete-java-developer-course/,Java Programming Masterclass covering Java 11 & Java 17,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",4.6,80.5 total hours,401 lectures,All Levels
https://www.udemy.com/course/java-in-depth-become-a-complete-java-engineer/,Java In-Depth: Become a Complete Java Engineer!,"Comprehensive Java programming course integrated with design principles, best practices & instructor-led Java EE project",Dheeru Mundluru,4.5,67.5 total hours,370 lectures,All Levels
https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,Selenium WebDriver with Java -Basics to Advanced+Frameworks,"""TOP RATED (BEST SELLER) #1 Master SELENIUM java course"" -5 Million students learning worldWide with great collaboration",Rahul Shetty,4.6,54 total hours,348 lectures,All Levels
https://www.udemy.com/course/java-programming-tutorial-for-beginners/,Java Programming for Complete Beginners,Java Programming Course for Beginners to Java Object Oriented Programming. BONUS: Build REST API with Spring Boot.,in28Minutes Official,4.5,31 total hours,372 lectures,Beginner
https://www.udemy.com/course/master-practical-java-development/,The Complete Java Certification Course,Become a confident industry ready core Java developer and get certified as a Java professional!,Imtiaz Ahmad,4.5,17.5 total hours,61 lectures,All Levels
https://www.udemy.com/course/java-web-services/,Java Web Services,"Learn how to design,create , consume and secure SOAP   and REST web services  from scratch in easy steps.",Bharath Thippireddy,4.5,18 total hours,340 lectures,All Levels
https://www.udemy.com/course/java-the-complete-java-developer-course/,Java Programming Masterclass covering Java 11 & Java 17,,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",4.6,80.5 total hours,401 lectures,All Levels
https://www.udemy.com/course/jsp-tutorial/,"JSP, Servlets and JDBC for Beginners: Build a Database App",,Chad Darby,4.7,9 total hours,118 lectures,All Levels
https://www.udemy.com/course/java-web-services/,Java Web Services,,Bharath Thippireddy,4.5,18 total hours,340 lectures,All Levels
https://www.udemy.com/course/java-multithreading-concurrency-performance-optimization/,"Java Multithreading, Concurrency & Performance Optimization",,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.7,4.5 total hours,34 lectures,All Levels
https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,Selenium WebDriver with Java -Basics to Advanced+Frameworks,,Rahul Shetty,4.6,54 total hours,348 lectures,All Levels
https://www.udemy.com/course/java-programming-complete-beginner-to-advanced/,Java Programming: Complete Beginner to Advanced,Become a Computer Programmer by Learning Core Java Skills,CodeIn Academy,4.2,5 total hours,36 lectures,Beginner
https://www.udemy.com/course/jsp-tutorial/,"JSP, Servlets and JDBC for Beginners: Build a Database App",JSP: Covers JSP 2.3 and Servlets 3.1 - Most Popular JSP/Servlet course,Chad Darby,4.7,9 total hours,118 lectures,All Levels
https://www.udemy.com/course/selenium-training/,Selenium WebDriver Training with Java & Many Live Frameworks,"#1 2021 TOP RATED, BEST SELLER Course on SELENIUM, Trusted by 500,000+ students with Many Live Projects & Frameworks",Rahul Arora,4.5,133.5 total hours,390 lectures,All Levels
https://www.udemy.com/course/java-multithreading-concurrency-performance-optimization/,"Java Multithreading, Concurrency & Performance Optimization","Become an expert in Multithreading, Concurrency & Parallel programming in Java, with strong emphasis on high performance",Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.7,4.5 total hours,34 lectures,All Levels
https://www.udemy.com/course/introduction-to-generics-in-java/,"Introduction to Collections, Generics & Reflection in Java","A Guide to Understand Generics, Collections Framework (Data Structures) and Reflection in Java!",Holczer Balazs,4.6,8 total hours,86 lectures,All Levels
https://www.udemy.com/course/practice-java-by-building-projects/,Practice Java by Building Projects,Ultimate Java interview prep course! 100% focused on applying object-oriented design in real-world applications,Tim Short,4.2,3.5 total hours,39 lectures,All Levels
https://www.udemy.com/course/java-8-new-features-in-simple-way/,Java 8 New Features In Simple Way,"Direct Class Room Videos To give Left and Right Anywhere about Lambda Expressions,Streams and More",DURGASOFT DURGA,4.7,20.5 total hours,93 lectures,All Levels
https://www.udemy.com/course/spring-tutorial-for-beginners/,Spring Framework Master Class - Java Spring the Modern Way,"Learn the magic of Java Spring Framework with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",in28Minutes Official,4.4,12 total hours,138 lectures,All Levels
https://www.udemy.com/course/selenium-webdriver-with-java-testng-and-log4j/,Selenium WebDriver With Java - Novice To Ninja + Interview,"Join the ""Top Rated #1 Best Selenium Course""-Basics To Advanced Level With POM, Grid, Maven, GitHub, Jenkins, Interviews","Lets Kode It, Let's Kode It",4.5,44 total hours,290 lectures,All Levels
https://www.udemy.com/course/java-enterprise-edition-8/,Java Enterprise Edition 8 for Beginners course,"Understand Jakarta EE, JPA, CDI, JAX-RS, REST, JWT, JSON-P and JSON-B and more. Add ""JEE Developer"" to your résumé!","Tim Buchalka's Learn Programming Academy, Luqman Saeed",4.4,30 total hours,385 lectures,All Levels
https://www.udemy.com/course/corejavamadeeasy/,Core Java Made Easy (Covers the latest Java 15),Master java in quick and simple steps,Bharath Thippireddy,4.6,25 total hours,484 lectures,All Levels
https://www.udemy.com/course/learn-java-se-8-and-prepare-for-the-java-associate-exam/,Complete Java SE 8 Developer Bootcamp - OCA Prep Included,"Master the Foundations of Java and the Topics of the Oracle Certified Associate, Java SE 8 Programmer Exam (1Z0-808)","Intertech Training, Jeff Jensen",4.5,12 total hours,165 lectures,All Levels
https://www.udemy.com/course/cucumber-tutorial/,Cucumber with Java-Build Automation Framework in lesser code,"Step by Step Cucumber BDD Approach to design the powerful Testing framework(Selenium,Appium,API) with very MINIMALCODE",Rahul Shetty,4.6,11 total hours,63 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-deep-dive-using-java/,Data Structures and Algorithms:  Deep Dive Using Java,"Learn about Arrays,  Linked Lists, Trees,  Hashtables, Stacks,  Queues,  Heaps, Sort algorithms and Search algorithms","Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy",4.5,16 total hours,116 lectures,Intermediate
https://www.udemy.com/course/java-application-performance-and-memory-management/,Java Application Performance and Memory Management,Learn how to tune the JVM and make good coding choices to ensure your applications perform optimally.,"Matt Greencroft, Virtual Pair Programmers",4.7,10 total hours,134 lectures,Intermediate
https://www.udemy.com/course/mockito-tutorial-with-junit-examples/,Learn Java Unit Testing with Junit & Mockito in 30 Steps,Learn Mockito and JUnit - the most popular Java unit testing and mocking frameworks - with 25 Examples,in28Minutes Official,4.4,5 total hours,38 lectures,All Levels
https://www.udemy.com/course/learn-java-programming-crash-course/,Learn Java Programming Crash Course,This Java For Beginners Course Includes Java Basics And Core Java Skills Training To Make You A Software Developer Fast,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy",4.6,12.5 total hours,148 lectures,Beginner
https://www.udemy.com/course/practical-java-course/,Java Course with Practical Examples for Absolute Beginners,Learn Java programming for complete beginner through examples to become a Java Developer and obtain core Java skills!,Sandor Szekeres,4.6,21.5 total hours,204 lectures,Beginner
https://www.udemy.com/course/spring-web-services-tutorial/,Master Java Web Services and RESTful API with Spring Boot,Build Java Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now!,in28Minutes Official,4.5,9.5 total hours,109 lectures,All Levels
https://www.udemy.com/course/full-stack-java-developer-java/,Full Stack Java developer - Java + JSP + Restful WS + Spring,Full Stack Java developer - Core Java + JSP Servlets + Hibernate +Spring + Java Web-service/RestFul  API + Spring boot.,"StudyEasy Organisation, Chaand Sheikh",4.4,65 total hours,619 lectures,All Levels
https://www.udemy.com/course/java-the-complete-java-developer-course/,Java Programming Masterclass covering Java 11 & Java 17,,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",4.6,80.5 total hours,401 lectures,All Levels
