url,Course Title,Course Headline,Instructor,Rating,course_length,number_of_lectures,difficulty
https://www.udemy.com/course/unrealcourse/,Unreal Engine C++ Developer: Learn C++ and Make Video Games,Created in collaboration with Epic Games. Learn C++ from basics while making your first 4 video games in Unreal,"Ben Tristem, Sam Pattuzzi, GameDev.tv Team",4.6,35.5 total hours,243 lectures,All Levels
https://www.udemy.com/course/beginning-c-plus-plus-programming/,Beginning C++ Programming - From Beginner to Beyond,Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",4.6,46 total hours,305 lectures,All Levels
https://www.udemy.com/course/cpp-fundamentals/,C++ Fundamentals: Game Programming For Beginners,Learn to make games using industry standard C++ and Raylib,"GameDev.tv Team, Sam Pattuzzi",4.6,11 total hours,87 lectures,Beginner
https://www.udemy.com/course/unitycourse/,Complete C# Unity Game Developer 2D,,"Ben Tristem, GameDev.tv Team, Rick Davidson",4.7,11 total hours,87 lectures,Beginner
https://www.udemy.com/course/become-a-game-designer/,Become a Game Designer the Complete Series Coding to Design,,[ School of Game Design ],4.0,11 total hours,87 lectures,Beginner
https://www.udemy.com/course/unrealcourse/,Unreal Engine C++ Developer: Learn C++ and Make Video Games,,"Ben Tristem, Sam Pattuzzi, GameDev.tv Team",4.6,11 total hours,87 lectures,Beginner
https://www.udemy.com/course/cpp-deep-dive/,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,"Classroom and Hands-on sessions- Features of C++ 11 , Exception Handling and STL -  for Both Academics and Industry",Abdul Bari,4.6,30.5 total hours,279 lectures,All Levels
https://www.udemy.com/course/datastructurescncpp/,Mastering Data Structures & Algorithms using C and C++,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",Abdul Bari,4.6,58.5 total hours,390 lectures,All Levels
https://www.udemy.com/course/video-course-c-from-beginner-to-expert/,C++: From Beginner to Expert,Designed for people who don't have any knowledge about the programming and want to program in C++,Arkadiusz Włodarczyk,4.5,17.5 total hours,95 lectures,All Levels
https://www.udemy.com/course/unrealcourse/,Unreal Engine C++ Developer: Learn C++ and Make Video Games,,"Ben Tristem, Sam Pattuzzi, GameDev.tv Team",4.6,35.5 total hours,243 lectures,All Levels
https://www.udemy.com/course/cpp-deep-dive/,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,,Abdul Bari,4.6,30.5 total hours,279 lectures,All Levels
https://www.udemy.com/course/the-complete-cpp-developer-course/,The Complete C++ Developer Course,,"Codestars by Rob Percival, John P. Baugh",4.6,22.5 total hours,122 lectures,All Levels
https://www.udemy.com/course/datastructurescncpp/,Mastering Data Structures & Algorithms using C and C++,,Abdul Bari,4.6,58.5 total hours,390 lectures,All Levels
https://www.udemy.com/course/cpp-4skills/,Mastering 4 critical SKILLS using C++ 17,,Dr. Mostafa Saad Ibrahim,4.6,32.5 total hours,363 lectures,All Levels
https://www.udemy.com/course/the-complete-cpp-developer-course/,The Complete C++ Developer Course,Master theory and practice using one of the world's most popular programming languages!,"Codestars by Rob Percival, John P. Baugh",4.6,22.5 total hours,122 lectures,All Levels
https://www.udemy.com/course/unrealengine-cpp/,Unreal Engine 4 Mastery: Create Multiplayer Games with C++,Unleash the power of C++ and Blueprint to develop Multiplayer Games with AI in this Epic Games-approved course.,"Tom Looman, Epic Games",4.6,17.5 total hours,148 lectures,All Levels
https://www.udemy.com/course/learn-advanced-c-programming/,Learn Advanced C++ Programming,"Discover intermediate to advanced C++, including C++ 11's fantastic additions to the C++ standard.",John Purcell,4.5,15 total hours,105 lectures,Intermediate
https://www.udemy.com/course/patterns-cplusplus/,Design Patterns in Modern C++,Discover the modern implementation of design patterns with С++,Dmitri Nesteruk,4.5,12.5 total hours,130 lectures,Intermediate
https://www.udemy.com/course/the-modern-cpp-20-masterclass/,The C++ 20 Masterclass :  From Fundamentals to Advanced,Learn and Master Modern C++ From Beginning to Advanced in Plain English :  C++11 all the way to C++20 and More!,Daniel Gakwaya,4.7,112 total hours,563 lectures,Beginner
https://www.udemy.com/course/beg-modern-cpp/,Complete Modern C++ (C++11/14/17),"Learn about move semantics, lambda expressions, smart pointers, concurrency, template, STL & more",Umar Lone,4.5,20 total hours,232 lectures,All Levels
https://www.udemy.com/course/unreal-engine-the-ultimate-shooter-course/,Unreal Engine C++ The Ultimate Shooter Course,Master Unreal Engine by Creating a Complete Shooter Game!,Stephen Ulibarri,4.8,56 total hours,345 lectures,All Levels
https://www.udemy.com/course/graphics-with-modern-opengl/,Computer Graphics with Modern OpenGL and C++,"Learn the theory and code behind modern OpenGL graphical applications so you can make games, simulations and more!",Ben Cook,4.6,21.5 total hours,40 lectures,Intermediate
https://www.udemy.com/course/learn-cpp-for-ue4-unit-1/,Learn C++ for Game Development,Learn the basics of C++ to prepare you for game development programming!,Stephen Ulibarri,4.7,12.5 total hours,70 lectures,All Levels
https://www.udemy.com/course/unrealmultiplayer/,Unreal C++ Multiplayer Master: Intermediate Game Development,Make Local & Online Multiplayer Games. Improve Your Coding Programming Skills. Made In Collaboration With Epic Games.,"Ben Tristem, Sam Pattuzzi, GameDev.tv Team",4.5,24.5 total hours,114 lectures,Intermediate
https://www.udemy.com/course/unreal-engine-the-ultimate-game-developer-course/,Unreal Engine C++ The Ultimate Game Developer Course,"Learn how to develop, code and package a complete video game in Unreal Engine",Stephen Ulibarri,4.6,34.5 total hours,100 lectures,All Levels
https://www.udemy.com/course/dscpp-skills/,Mastering critical SKILLS in Data Structures using C++,Understand DS inner details & design decisions effects + Solve ~180 problems to enhance your problem-solving skills,Dr. Mostafa Saad Ibrahim,4.8,19.5 total hours,200 lectures,All Levels
https://www.udemy.com/course/cpp-4skills/,Mastering 4 critical SKILLS using C++ 17,170 problems to enhance problem-solving skills. 6 projects for Project Building and Design Skills. High-quality quizzes,Dr. Mostafa Saad Ibrahim,4.6,32.5 total hours,363 lectures,All Levels
https://www.udemy.com/course/multithreading_parta/,Part A - Multithreading & Thread Synchronization - C/C++,"Linux POSIX Threads ( Pthreads ), thread Synchronization, Operating System Concepts, C/C++ programming with Projects","Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",4.7,12 total hours,124 lectures,Beginner
https://www.udemy.com/course/data-structures-algorithms-using-c-zero-to-mastery/,Data Structure & Algorithm using C++ : Zero To Mastery 2021,"Greedy Algo, Dynamic Programming , Graph ,Tries , Arrays, Recursion, Linked Lists, Trees, HashMap, Stacks, Queues, Heaps","Ankit Thakran, Harsh Kajla",4.5,64.5 total hours,268 lectures,All Levels
https://www.udemy.com/course/modern-cpp-concurrency-in-depth/,Modern C++ Concurrency in Depth ( C++17/20),"modern c++ concurrency features including memory model, lock free data structure, thread pools, coroutines.",Kasun Liyanage,4.4,10 total hours,98 lectures,Intermediate
https://www.udemy.com/course/c-programming-step-by-step-from-beginner-to-ultimate-level/,C++ Programming Step By Step From Beginner To Ultimate Level,"Discover C++ basics then Expert on Object Oriented Programming OOP, C++ Data structure, STL, C++ Projects with C++ 11/14",Lernen Hub Academy,4.2,11.5 total hours,100 lectures,All Levels
https://www.udemy.com/course/unitycourse/,Complete C# Unity Game Developer 2D,,"Ben Tristem, GameDev.tv Team, Rick Davidson",4.7,11.5 total hours,100 lectures,All Levels
https://www.udemy.com/course/become-a-game-designer/,Become a Game Designer the Complete Series Coding to Design,,[ School of Game Design ],4.0,11.5 total hours,100 lectures,All Levels
https://www.udemy.com/course/unrealcourse/,Unreal Engine C++ Developer: Learn C++ and Make Video Games,,"Ben Tristem, Sam Pattuzzi, GameDev.tv Team",4.6,11.5 total hours,100 lectures,All Levels
https://www.udemy.com/course/qt-c-gui-tutorial-for-complete-beginners/,Qt 5 C++ GUI Development For Beginners : The Fundamentals,"Build Cross Platform C++ GUI Applications with Qt, Run them on Windows, Mac, Linux, Android, iOS and Embedded Devices",Daniel Gakwaya,4.5,14.5 total hours,76 lectures,Beginner
